order_item_id,order_id,product_id,quantity,sale_price
1,1,10,1,68.0
2,1,2,1,52.0
3,2,4,1,50.0
4,3,12,2,38.0
5,4,3,1,38.0
6,5,3,1,38.0
7,6,11,1,28.0
8,7,9,1,40.0
9,8,9,1,40.0
10,8,10,1,68.0
11,9,10,1,68.0
12,9,8,1,45.0
13,10,6,2,62.0
14,11,8,1,45.0
15,11,10,1,68.0
16,12,9,1,40.0
17,13,6,1,62.0
18,14,12,2,38.0
19,15,6,1,62.0
20,15,4,2,50.0
21,16,3,1,38.0
22,16,11,1,28.0
23,17,6,1,62.0
24,18,8,1,45.0
25,19,12,1,38.0
26,20,12,1,38.0
27,21,1,1,55.0
28,22,9,1,40.0
29,23,4,1,50.0
30,23,1,1,55.0
31,23,7,1,58.0
32,24,4,2,50.0
33,25,10,2,68.0
34,25,11,1,28.0
35,26,2,1,52.0
36,27,3,1,38.0
37,27,3,2,38.0
38,28,7,1,58.0
39,28,2,1,52.0
40,28,1,1,55.0
41,29,10,1,68.0
42,30,6,1,62.0
43,30,4,2,50.0
44,30,7,1,58.0
45,31,2,1,52.0
46,32,11,1,28.0
47,33,6,1,62.0
48,33,5,1,35.0
49,34,10,1,68.0
50,35,5,2,35.0
51,35,2,1,52.0
52,36,1,1,55.0
53,37,7,2,58.0
54,38,4,1,50.0
55,39,11,1,28.0
56,40,12,1,38.0
57,40,10,1,68.0
58,40,10,1,68.0
59,41,8,1,45.0
60,42,5,1,35.0
61,43,12,1,38.0
62,43,7,1,58.0
63,43,5,1,35.0
64,44,10,1,68.0
65,45,9,1,40.0
66,46,8,1,45.0
67,46,10,2,68.0
68,47,8,1,45.0
69,48,7,2,58.0
70,48,8,1,45.0
71,49,9,2,40.0
72,49,5,1,35.0
73,50,2,2,52.0
74,51,10,2,68.0
75,51,7,1,58.0
76,51,5,2,35.0
77,52,8,1,45.0
78,53,6,1,62.0
79,54,11,1,28.0
80,54,4,2,50.0
81,54,11,1,28.0
82,55,2,1,52.0
83,56,1,1,55.0
84,57,10,2,68.0
85,58,3,1,38.0
86,59,10,1,68.0
87,60,1,1,55.0
88,60,8,2,45.0
89,61,6,1,62.0
90,61,10,1,68.0
91,61,8,2,45.0
92,62,12,1,38.0
93,62,2,1,52.0
94,63,6,1,62.0
95,64,8,1,45.0
96,65,8,1,45.0
97,65,9,1,40.0
98,66,8,1,45.0
99,67,7,1,58.0
100,68,1,1,55.0
101,68,4,1,50.0
102,69,5,1,35.0
103,69,3,1,38.0
104,70,5,1,35.0
105,70,9,1,40.0
106,71,3,1,38.0
107,72,2,1,52.0
108,72,6,1,62.0
109,72,6,1,62.0
110,73,4,1,50.0
111,74,4,1,50.0
112,75,5,1,35.0
113,76,11,2,28.0
114,76,7,1,58.0
115,77,6,2,62.0
116,78,1,2,55.0
117,79,9,1,40.0
118,80,11,2,28.0
119,80,9,1,40.0
120,81,9,2,40.0
121,81,12,1,38.0
122,82,1,1,55.0
123,83,10,1,68.0
124,84,1,1,55.0
125,84,5,1,35.0
126,85,4,1,50.0
127,86,1,2,55.0
128,86,6,1,62.0
129,87,8,1,45.0
130,88,5,1,35.0
131,89,8,2,45.0
132,90,7,1,58.0
133,90,2,1,52.0
134,90,5,1,35.0
135,91,10,2,68.0
136,91,7,1,58.0
137,91,4,1,50.0
138,92,9,1,40.0
139,92,4,1,50.0
140,93,10,1,68.0
141,93,6,2,62.0
142,94,3,1,38.0
143,94,8,1,45.0
144,95,2,1,52.0
145,95,1,1,55.0
146,95,4,1,50.0
147,96,1,1,55.0
148,97,2,2,52.0
149,98,6,1,62.0
150,99,9,1,40.0
151,100,9,1,40.0
152,101,1,1,55.0
153,102,11,2,28.0
154,102,1,1,55.0
155,103,6,1,62.0
156,103,8,1,45.0
157,103,12,1,38.0
158,104,5,1,35.0
159,105,9,1,40.0
160,105,10,2,68.0
161,106,3,2,38.0
162,106,7,1,58.0
163,107,1,1,55.0
164,108,8,1,45.0
